j,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Raspados Y Duros,66.9,128,0.4,0,32.6,0,0,2,1,0.16,0,0,0.01,1,0,0,0,0,0,3,22,0.02,1,0,0,0,0,1
Remolacha,87.58,43,1.61,0.17,9.56,2.8,1.08,16,40,0.8,0.03,0.04,0.33,5,2,0.03,0.06,0.03,0,325,78,0.35,23,0.07,0,0,109,0.67
Repollo,92.52,24,1.21,0.18,5.37,2.3,0.72,47,23,0.56,0.05,0.03,0.3,51,6,0.01,0.09,0.02,0,246,18,0.18,15,0.09,0,0,57,0.8
Sal,0.2,0,0,0,0,0,99.8,24,0,0.33,0,0,0,0,0,0,0,0,0,8,38758,0.1,1,0,0,0,0,1
Sandias,91.45,30,0.61,0.15,7.55,0.4,0.25,7,11,0.24,0.03,0.02,0.18,8,28,0.04,0.05,0.02,0,112,1,0.1,10,0.05,0,0,3,0.52
Sardina Y Atún,64.02,186,26.53,8.08,0,0,2.18,4,267,0.65,0.02,0.08,11.7,0,5,3.26,2.97,1.28,31,333,396,0.47,34,0.43,2.2,0,5,1
"Sodas, Refrescos Y Jugos",99.9,0,0,0,0,0,0.1,5,0,0.01,0,0,0,0,0,0,0,0,0,2,21,0.1,1,0,0,0,0,1
Sopa Enlatada,91.96,31,4.42,1.04,0.75,0,1.83,6,60,0.41,0.01,0.05,2.23,0,0,0.47,0.22,0.31,1,170,626,0.2,2,0.02,0.2,0,4,1
Tomate,93.8,21,0.8,0.3,4.6,1.2,0.5,7,24,0.6,0.06,0.05,0.7,23,42,0.05,0.14,0.05,0,237,5,0.17,0,0.08,0,0,15,0.98
Viscera De Res,62.02,234,18.68,17.15,0,0,0.91,7,177,1.91,0.1,0.16,3.23,0,0,7.42,0.63,6.91,66,306,58,3.75,19,0.39,2.95,0,6,0.88
Visceras De Pollo O Gallina,69.8,168,17.89,9.21,2.13,0,0.97,10,198,5.93,0.1,1.11,8.53,11,3152,2.75,2.1,2.63,240,226,77,3.01,18,0.52,10.83,0,350,1
Yuca,59.68,160,1.36,0.28,38.06,1.8,0.62,16,27,0.27,0.09,0.05,0.85,21,1,0.08,0.05,0.07,0,271,14,0.34,21,0.09,0,0,27,1
Zanahoria,88.29,41,0.93,0.24,9.58,2.8,0.97,33,35,0.3,0.07,0.06,0.98,6,841,0.01,0.12,0.04,0,320,69,0.24,12,0.14,0,0,19,0.89
Zapallo / Chayote,90.8,31,0.9,0.2,7.7,1.7,0.4,12,30,0.6,0.03,0.04,0.4,20,3,0.01,0.06,0.03,0,125,2,0.74,0,0.08,0,0,93,0.77
Ñame,69.6,118,1.53,0.17,27.88,4.1,0.82,17,55,0.54,0.11,0.03,0.55,17,7,0.01,0.08,0.04,0,816,9,0.24,21,0.29,0,0,23,0.86
