i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1997603,1997,,3,3,3,0,0,0,1,0,1,0,1,0,2,1,1,1,0,1,2.197224577
1997604,1997,,1,4,2,1,1,0,2,1,0,0,1,0,1,1,1,0,0,0,2.079441542
1997605,1997,,1,3,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
1997606,1997,,1,1,1,3,0,2,1,0,0,1,0,0,0,0,1,1,0,0,1.791759469
1997607,1997,,2,3,3,3,0,1,1,0,1,2,1,0,2,1,0,0,1,1,2.397895273
1997608,1997,,1,1,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
1997609,1997,,2,1,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1.791759469
1997610,1997,,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289
1997611,1997,,1,3,1,2,1,0,1,2,1,0,0,0,0,0,1,1,0,0,1.945910149
1997612,1997,,1,3,2,1,1,0,0,0,0,1,2,0,1,1,0,0,1,0,1.945910149
1997613,1997,,1,4,1,3,3,1,0,1,0,0,1,1,0,1,1,0,0,0,2.197224577
1997614,1997,,2,5,2,2,0,0,1,0,2,2,3,0,0,0,0,0,1,2,2.397895273
1997616,1997,,1,1,1,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1.609437912
1997617,1997,,2,3,1,2,1,1,2,0,0,1,0,0,0,1,1,1,0,0,2.079441542
1997618,1997,,3,8,2,0,2,0,2,0,1,0,3,0,1,2,1,1,0,0,2.564949357
1997620,1997,,3,3,0,4,1,2,0,0,2,1,0,1,0,2,0,0,0,1,2.302585093
1997621,1997,,1,3,1,3,1,1,0,1,1,1,1,0,0,0,1,1,0,0,2.079441542
1997622,1997,,1,4,1,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1.791759469
1997623,1997,,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1.386294361
1997624,1997,,2,2,2,5,0,1,2,1,0,2,0,1,2,1,0,1,0,0,2.397895273
1997626,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
1997627,1997,,1,3,2,3,1,1,1,1,1,0,0,1,1,0,1,1,0,0,2.197224577
1997628,1997,,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
1997629,1997,,2,0,1,4,0,1,0,1,0,2,0,0,0,1,1,1,0,0,1.945910149
1997630,1997,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
1997631,1997,,2,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1.609437912
1997632,1997,,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
1997633,1997,,1,2,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1.386294361
1997634,1997,,1,1,1,3,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1.791759469
1997635,1997,,1,0,1,3,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
1997636,1997,,2,2,2,2,0,0,1,1,0,1,1,0,1,1,1,1,0,0,2.079441542
1997637,1997,,3,1,2,4,1,0,0,0,0,2,0,3,1,1,0,1,1,0,2.302585093
1997638,1997,,1,3,1,1,0,0,1,0,0,1,2,0,0,0,1,1,0,0,1.791759469
1997639,1997,,1,3,2,1,0,0,1,0,0,1,2,0,1,0,1,1,0,0,1.945910149
1997640,1997,,1,2,2,1,0,0,2,1,0,0,0,0,0,1,1,0,1,0,1.791759469
1997641,1997,,1,4,1,3,0,1,2,1,1,0,1,1,0,0,1,1,0,0,2.197224577
1997642,1997,,1,1,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
1997643,1997,,1,4,2,2,2,0,1,1,0,0,2,1,0,0,1,1,0,0,2.197224577
1997644,1997,,1,1,2,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1.609437912
1997645,1997,,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1997646,1997,,1,2,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1997647,1997,,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.098612289
1997648,1997,,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1.386294361
1997649,1997,,1,3,2,1,0,0,1,0,1,0,2,1,0,1,1,0,0,0,1.945910149
1997650,1997,,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1.386294361
1997651,1997,,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.098612289
